 ;Startzeit;Fertigstellungszeit;Dauer (in min);Alter des Kindes;Startort für den Schulweg;Schulweg (in km);Wohnort;lng;lat;Fahrgemeinschaften;Zufriedenheit:Wegbeschaffenheit;Zufriedenheit:Sicherheit;Zufriedenheit:Zeitdauer;Zufriedenheit:Komfortabilität;Zufriedenheit:Sozialer Zusammenhalt;Zufriedenheit:Wegbeschaffenheit.1;Zufriedenheit:Sicherheit.1;Zufriedenheit:Zeitdauer.1;Zufriedenheit:Komfortabilität.1;Zufriedenheit:Sozialer Zusammenhalt.1;Wenn Du mit dem Auto zur Schule fährst - was sind die Gründe dafür?;Wie wichtig ist Dir eine umweltverträgliche Form des Schulweges?;Kannst Du Dir vorstellen, vom Auto auf eine andere Verkehrsart umzusteigen - wenn ja auf welche?;Was ich sonst noch hinzufügen möchte (Anregungen und Anmerkungen);Wenn Du möchtest - gib bitte Deinen Namen an, damit wir mit Dir ins Gespräch kommen können.
3;11.09.2024 09:46;11.09.2024 09:49;3;"Klasse 7-10;Gymnasium;";Ich habe einen Wohnort;17.0;Nossen;13.314546;51.1542557;Ja;Unzufrieden;Unzufrieden;Sehr unzufrieden;Unzufrieden;Unzufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Verfügbarkeit von Alternativen;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;";4;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
4;11.09.2024 09:47;11.09.2024 09:49;2;"Gymnasium;";Ich habe einen Wohnort;14.0;Radebeul;13.6767995;51.0999765;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;;;;;;;3;;;
5;11.09.2024 09:48;11.09.2024 09:50;2;"Klasse 7-10;JG 3-4;";Ich habe einen Wohnort;2.0;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Sehr zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;";4;"Zu Fuß;Fahrrad;";;
6;11.09.2024 09:52;11.09.2024 09:55;3;"Klasse 7-10;Gymnasium;";Ich habe einen Wohnort;18.0;Wauden;13.2732634;51.176698;Ich fahre nicht mit dem Auto zur Schule;Unzufrieden;Unzufrieden;Zufrieden;Unzufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Tagesablauf;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Ich kann mir keinen Umstieg vorstellen.;";;
7;11.09.2024 10:15;11.09.2024 10:18;3;"JG 1-2;JG 5-6;Gymnasium;";Ich habe einen Wohnort;25.0;Nossen;13.314546;51.1542557;Ja;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Verfügbarkeit von Alternativen;Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;";2;"Ich kann mir keinen Umstieg vorstellen.;";Radwege und ÖPNV muss dringend im ländlichen Raum ausgebaut werden.;familie
8;11.09.2024 10:20;11.09.2024 10:22;2;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;14.0;Lommatzsch ;13.3111561;51.1952586;Ja;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Sehr zufrieden;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;";2;"Ich kann mir keinen Umstieg vorstellen.;";;Neline Ebert
9;11.09.2024 10:24;11.09.2024 10:26;2;"JG 5-6;";Ich habe einen Wohnort;12.0;Priestewitz ;13.509385;51.2535414;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;4;;;
10;11.09.2024 10:30;11.09.2024 10:32;2;"Gymnasium;";Ich habe einen Wohnort;26.0;Radebeul;13.6767995;51.0999765;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;4;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Fahrrad;";;
11;11.09.2024 10:47;11.09.2024 10:50;3;"JG 3-4;Klasse 7-10;";Ich habe einen Wohnort;2.0;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;2;;;
12;11.09.2024 10:50;11.09.2024 10:52;2;"Klasse 7-10;";Ich habe einen Wohnort;8.0;Robschütz;13.4232287;51.1235937;Nein;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;Fehlende oder unsichere Radwege;";3;"Ich kann mir keinen Umstieg vorstellen.;";;
